symbol,mutual_information,cumulative_information,relative_cumulative_information
CG42458,0.285208152076,0.285208152076,0.0631750717534
CG42750,0.236541559745,0.527937939808,0.116940967451
CG13300,0.192999191154,0.772423054099,0.171095677005
Pde11,0.184485709261,1.05464018628,0.233608222475
5-HT1A,0.156849121697,1.3834156383,0.306433675117
nAChRalpha3,0.160434857392,1.75046619218,0.387737259569
CG31249,0.0681947565248,2.19998831373,0.487308720192
alc,0.0659698393916,2.65842445506,0.588854682016
Synj,0.0863857143126,3.13219640198,0.693797603611
CG42540,0.121298749702,3.56469033337,0.789597232581
CG9471,0.0718410350696,3.90678757206,0.86537352945
CG3961,0.0771487263984,4.1324375853,0.915356167301
CstF-64,0.0710754866803,4.27046806586,0.945930628269
CG3527,0.0704014886903,4.35295545831,0.964202009712
SdhD,0.0696576505152,4.41976772273,0.979001269719
CG12065,0.201425131328,4.44721216564,0.985080354897
CG32700,0.118056130259,4.46578742894,0.989194871202
baz,0.0825681855277,4.48130849325,0.992632866729
